Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,[Nature],[Observation Status],[Reporting Type],[Units],[Age],[Sex],[Location],[Education level],[Activity],[Freq],[Type of product],[Type of renewable technology],[Mode of transportation],[Name of non-communicable disease],[Type of skill],[Migratory status],[Type of speed],[Quantile],[Level/Status],[Type of occupation]
17.0,17.3,17.3.1,GF_FRN_FDI,Foreign direct investment (FDI) inflows (millions of United States dollars),218.0,Ecuador,1994.0,576.3265,1994.0,,,,,"UNCTAD, FDI/MNE database (www.unctad.org/fdistatistics).",,,C,,G,CU_USD_M,,,,,,,,,,,,,,,,
2.0,2.5,2.5.1,ER_GRF_PLNTSTOR,Plant genetic resources accessions stored ex situ (number),218.0,Ecuador,1995.0,20253.0,1995.0,,,,,FAO-WIEWS (http://www.fao.org/wiews),,Estimate based on the acquisition date of each conserved accession as reported in 2014.,E,E,G,NUMBER,,,,,,,,,,,,,,,,
15.0,15.5,15.5.1,ER_RSK_LST,Red List Index,218.0,Ecuador,1995.0,0.78322,1995.0,,0.79657,0.77135,," BirdLife International and IUCN (2024), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weightd by the proportion of each species's distribution in the country or region.",,,E,,G,INDEX,,,,,,,,,,,,,,,,
1.0,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),218.0,Ecuador,1995.0,13.8,1995.0,,,,2017.0,"Poverty and Inequality Portal, World Bank",,"Accessed March 26, 2024. Based on data from EPED. Estimated from unit-record income data. Urban only. ",G,,G,PERCENT,ALLAGE,BOTHSEX,ALLAREA,,,,,,,,,,,,,
17.0,17.3,17.3.1,GF_FRN_FDI,Foreign direct investment (FDI) inflows (millions of United States dollars),218.0,Ecuador,1995.0,452.4602,1995.0,,,,,"UNCTAD, FDI/MNE database (www.unctad.org/fdistatistics).",,,C,,G,CU_USD_M,,,,,,,,,,,,,,,,
17.0,17.3,17.3.1,GF_FRN_FDI,Foreign direct investment (FDI) inflows (millions of United States dollars),218.0,Ecuador,1996.0,499.6533,1996.0,,,,,"UNCTAD, FDI/MNE database (www.unctad.org/fdistatistics).",,,C,,G,CU_USD_M,,,,,,,,,,,,,,,,
15.0,15.5,15.5.1,ER_RSK_LST,Red List Index,218.0,Ecuador,1996.0,0.77943,1996.0,,0.79278,0.76874,," BirdLife International and IUCN (2024), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weightd by the proportion of each species's distribution in the country or region.",,,E,,G,INDEX,,,,,,,,,,,,,,,,
15.0,15.5,15.5.1,ER_RSK_LST,Red List Index,218.0,Ecuador,1997.0,0.77596,1997.0,,0.78782,0.76514,," BirdLife International and IUCN (2024), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weightd by the proportion of each species's distribution in the country or region.",,,E,,G,INDEX,,,,,,,,,,,,,,,,
17.0,17.3,17.3.1,GF_FRN_FDI,Foreign direct investment (FDI) inflows (millions of United States dollars),218.0,Ecuador,1997.0,723.9358,1997.0,,,,,"UNCTAD, FDI/MNE database (www.unctad.org/fdistatistics).",,,C,,G,CU_USD_M,,,,,,,,,,,,,,,,
15.0,15.5,15.5.1,ER_RSK_LST,Red List Index,218.0,Ecuador,1998.0,0.77144,1998.0,,0.78313,0.76104,," BirdLife International and IUCN (2024), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weightd by the proportion of each species's distribution in the country or region.",,,E,,G,INDEX,,,,,,,,,,,,,,,,
17.0,17.3,17.3.1,GF_FRN_FDI,Foreign direct investment (FDI) inflows (millions of United States dollars),218.0,Ecuador,1998.0,869.9729,1998.0,,,,,"UNCTAD, FDI/MNE database (www.unctad.org/fdistatistics).",,,C,,G,CU_USD_M,,,,,,,,,,,,,,,,
1.0,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),218.0,Ecuador,1998.0,15.7,1998.0,,,,2017.0,"Poverty and Inequality Portal, World Bank",,"Accessed March 26, 2024. Based on data from EPED. Estimated from unit-record income data. Urban only. ",G,,G,PERCENT,ALLAGE,BOTHSEX,ALLAREA,,,,,,,,,,,,,
17.0,17.3,17.3.1,GF_FRN_FDI,Foreign direct investment (FDI) inflows (millions of United States dollars),218.0,Ecuador,1999.0,648.4153,1999.0,,,,,"UNCTAD, FDI/MNE database (www.unctad.org/fdistatistics).",,,C,,G,CU_USD_M,,,,,,,,,,,,,,,,
2.0,2.2,2.2.2,SH_STA_WASTN,Children moderately or severely wasted (thousands),218.0,Ecuador,1999.0,41.8,1998-1999 (1999),,,,,"Equidad desde el principio - situacion nutricional de los niños ecuatorianos. Encuesta de condiciones de vida, 1998. Organizacion Panamericana de la Salud y Ministerio de Salud Publica, Ecuador. Washington, D.C.: OPS, 2001",, Height/length modality (standing/lying) was not collected; ,C,A,G,NUM_TH,<5Y,,,,,,,,,,,,,,,
1.0,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),218.0,Ecuador,1999.0,21.8,1999.0,,,,2017.0,"Poverty and Inequality Portal, World Bank",,"Accessed March 26, 2024. Based on data from ECV. Estimated from unit-record income data. ",G,,G,PERCENT,ALLAGE,BOTHSEX,ALLAREA,,,,,,,,,,,,,
15.0,15.5,15.5.1,ER_RSK_LST,Red List Index,218.0,Ecuador,1999.0,0.76681,1999.0,,0.77675,0.75758,," BirdLife International and IUCN (2024), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weightd by the proportion of each species's distribution in the country or region.",,,E,,G,INDEX,,,,,,,,,,,,,,,,
10.0,10.2,10.2.1,SI_POV_50MI,Proportion of people living below 50 percent of median income (%),218.0,Ecuador,1999.0,23.1,1999.0,,,,,World Bank's Poverty and Inequality Platform,,Based on data from ECV. Estimated from unit-record income data. ,G,,G,PERCENT,,,,,,,,,,,,,,B50,,
3.0,3.3,3.3.1,SH_HIV_INCD,"Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)",218.0,Ecuador,2000.0,0.01,2000.0,,,,,UNAIDS,,,E,A,G,PER_1000_UNINFECTED_POP,50+,FEMALE,,,,,,,,,,,,,,
3.0,3.4,3.4.2,SH_STA_SCIDE,"Suicide mortality rate, by sex (deaths per 100,000 population)",218.0,Ecuador,2000.0,6.4,2000.0,,7.9,4.6,,"Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020",,,E,,G,PER_100000_POP,,BOTHSEX,,,,,,,,,,,,,,
3.0,3.4,3.4.2,SH_STA_SCIDE,"Suicide mortality rate, by sex (deaths per 100,000 population)",218.0,Ecuador,2000.0,4.2,2000.0,,5.2,3.4,,"Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020",,,E,,G,PER_100000_POP,,FEMALE,,,,,,,,,,,,,,
3.0,3.4,3.4.2,SH_STA_SCIDE,"Suicide mortality rate, by sex (deaths per 100,000 population)",218.0,Ecuador,2000.0,8.5,2000.0,,10.6,5.9,,"Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020",,,E,,G,PER_100000_POP,,MALE,,,,,,,,,,,,,,
15.0,15.4,15.4.1,ER_PTD_MTN,Average proportion of Mountain Key Biodiversity Areas (KBAs) covered by protected areas (%),218.0,Ecuador,2000.0,16.51437,2000.0,,16.79648,15.96773,,"BirdLife International, IUCN and UNEP-WCMC (2021). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of Key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Database on Protected Areas and (where available) for Other Effective area-based Conservation Measures and from the World Database on OECMs (www.protectedplanet.net)",,,C,A,G,PERCENT,,,,,,,,,,,,,,,,
3.0,3.3,3.3.1,SH_HIV_INCD,"Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)",218.0,Ecuador,2000.0,0.29,2000.0,,,,,UNAIDS,,,E,A,G,PER_1000_UNINFECTED_POP,15-24,FEMALE,,,,,,,,,,,,,,
3.0,3.b,3.b.2,DC_TOF_HLTHL,"Total official development assistance to medical research and basic health sectors, gross disbursement, by recipient countries (millions of constant 2022 United States dollars)",218.0,Ecuador,2000.0,2.8967,2000.0,,,,2022.0,The Organisation for Economic Co-operation and Development (OECD).,,"Commitments; Based on OECD, CRS databased, 2024; Constant 2022 USD million",C,,G,CON_USD_M,,,,,,,,,,,,,,,,
3.0,3.2,3.2.1,SH_DYN_IMRT,"Infant mortality rate (deaths per 1,000 live births)",218.0,Ecuador,2000.0,24.6,2000.0,,,,,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2024.",,,E,,G,PER_1000_LIVE_BIRTHS,<1Y,BOTHSEX,,,,,,,,,,,,,,
3.0,3.2,3.2.1,SH_DYN_IMRT,"Infant mortality rate (deaths per 1,000 live births)",218.0,Ecuador,2000.0,21.3,2000.0,,,,,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2024.",,,E,,G,PER_1000_LIVE_BIRTHS,<1Y,FEMALE,,,,,,,,,,,,,,
3.0,3.4,3.4.2,SH_STA_SCIDEN,"Number of deaths attributed to suicide, by sex (number)",218.0,Ecuador,2000.0,809.0,2000.0,,1003.0,590.0,,"Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020",,,E,,G,NUMBER,,BOTHSEX,,,,,,,,,,,,,,
3.0,3.4,3.4.2,SH_STA_SCIDEN,"Number of deaths attributed to suicide, by sex (number)",218.0,Ecuador,2000.0,268.0,2000.0,,327.0,215.0,,"Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020",,,E,,G,NUMBER,,FEMALE,,,,,,,,,,,,,,
3.0,3.4,3.4.2,SH_STA_SCIDEN,"Number of deaths attributed to suicide, by sex (number)",218.0,Ecuador,2000.0,541.0,2000.0,,676.0,374.0,,"Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020",,,E,,G,NUMBER,,MALE,,,,,,,,,,,,,,
14.0,14.5,14.5.1,ER_MRN_MPA,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%),218.0,Ecuador,2000.0,52.81094,2000.0,,52.81094,52.81094,,"BirdLife International, IUCN and UNEP-WCMC (2021). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of Key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Database on Protected Areas and (where available) for Other Effective area-based Conservation Measures and from the World Database on OECMs (www.protectedplanet.net)",,,C,A,G,PERCENT,,,,,,,,,,,,,,,,
3.0,3.2,3.2.2,SH_DYN_NMRTN,Neonatal deaths (number),218.0,Ecuador,2000.0,4508.0,2000.0,,,,,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2024.",,,E,,G,NUMBER,<1M,BOTHSEX,,,,,,,,,,,,,,
17.0,17.3,17.3.1,GF_FRN_FDI,Foreign direct investment (FDI) inflows (millions of United States dollars),218.0,Ecuador,2000.0,-23.43937,2000.0,,,,,"UNCTAD, FDI/MNE database (www.unctad.org/fdistatistics).",,,C,,G,CU_USD_M,,,,,,,,,,,,,,,,
3.0,3.b,3.b.1,SH_ACS_DTP3,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine (%),218.0,Ecuador,2000.0,87.0,2000.0,,,,,"WHO/UNICEF coverage estimates 2022 revision, July 2023",,,E,,G,PERCENT,,,,,,,,,,,,,,,,
7.0,7.1,7.1.2,EG_EGY_CLEAN,Proportion of population with primary reliance on clean fuels and technology (%),218.0,Ecuador,2000.0,98.7,2000.0,,100.0,92.2975,,"Global Health Observatory (GHO), World Health Organisation (WHO).",,,E,,G,PERCENT,,,URBAN,,,,,,,,,,,,,
7.0,7.3,7.3.1,EG_EGY_PRIM,Energy intensity level of primary energy (megajoules per constant 2017 purchasing power parity GDP),218.0,Ecuador,2000.0,3.27,2000.0,,,,2017.0,"IEA (2023), World Energy Balances",,,E,,G,MJ_PER_GDP_CON_PPP_USD,,,,,,,,,,,,,,,,
17.0,17.9,17.9.1,DC_FTA_TOTAL,Total official development assistance (gross disbursement) for technical cooperation (millions of 2022 United States dollars),218.0,Ecuador,2000.0,282.51009,2000.0,,,,2022.0,The Organisation for Economic Co-operation and Development (OECD).,,"Commitments; Based on OECD, CRS databased, 2024; Constant 2022 USD million",C,,G,CON_USD_M,,,,,,,,,,,,,,,,
15.0,15.1,15.1.2,ER_PTD_FRHWTR,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%),218.0,Ecuador,2000.0,32.10535,2000.0,,32.10535,32.10535,,"BirdLife International, IUCN and UNEP-WCMC (2021). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of Key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Database on Protected Areas and (where available) for Other Effective area-based Conservation Measures and from the World Database on OECMs (www.protectedplanet.net)",,,C,A,G,PERCENT,,,,,,,,,,,,,,,,
3.0,3.4,3.4.1,SH_DTH_NCOM,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)",218.0,Ecuador,2000.0,12.8,2000.0,,15.7,10.4,,"Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020",,,E,,G,PERCENT,30-70,BOTHSEX,,,,,,,,,,,,,,
3.0,3.4,3.4.1,SH_DTH_NCOM,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)",218.0,Ecuador,2000.0,13.4,2000.0,,16.2,10.9,,"Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020",,,E,,G,PERCENT,30-70,MALE,,,,,,,,,,,,,,
3.0,3.4,3.4.1,SH_DTH_NCOM,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)",218.0,Ecuador,2000.0,12.4,2000.0,,15.1,9.9,,"Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020",,,E,,G,PERCENT,30-70,FEMALE,,,,,,,,,,,,,,
17.0,17.4,17.4.1,DT_TDS_DECT,Debt service as a proportion of exports of goods and services (%),218.0,Ecuador,2000.0,38.11635,2000.0,,,,,"World Bank, International Debt Statistics.",,,G,,G,PERCENT,,,,,,,,,,,,,,,,
3.0,3.1,3.1.2,SH_STA_BRTC,Proportion of births attended by skilled health personnel (%),218.0,Ecuador,2000.0,70.9,2000.0,,,,,Estadísticas Vitales: Registro Estadístico de Nacidos Vivos y Defunciones 2020. Quito: Instituto Nacional de Estadística y Censos (INEC); 2021 (in Spanish).,,,C,,G,PERCENT,,,,,,,,,,,,,,,,
1.0,1.1,1.1.1,SI_POV_EMP1,"Employed population below international poverty line, by sex and age (%)",218.0,Ecuador,2000.0,24.62,2000.0,,,,,"ILO modelled estimates, Nov. 2023",,,M,A,G,PERCENT,15+,BOTHSEX,,,,,,,,,,,,,,
3.0,3.7,3.7.2,SP_DYN_ADKL,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years)",218.0,Ecuador,2000.0,97.67,2000.0,,,,,Registration National Statistics & WPP2022,,,CA,,G,PER_1000_POP,15-19,FEMALE,,,,,,,,,,,,,,
3.0,3.7,3.7.2,SP_DYN_ADKL,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years)",218.0,Ecuador,2000.0,1.98,2000.0,,,,,Registration National Statistics & WPP2022,,,CA,,G,PER_1000_POP,10-14,FEMALE,,,,,,,,,,,,,,
6.0,6.1,6.1.1,SH_H2O_SAFE,"Proportion of population using safely managed drinking water services, by urban/rural (%)",218.0,Ecuador,2000.0,58.20305,2000.0,,,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",,,E,,G,PERCENT,,,ALLAREA,,,,,,,,,,,,,
6.0,6.1,6.1.1,SH_H2O_SAFE,"Proportion of population using safely managed drinking water services, by urban/rural (%)",218.0,Ecuador,2000.0,42.95684,2000.0,,,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",,,E,,G,PERCENT,,,RURAL,,,,,,,,,,,,,
6.0,6.1,6.1.1,SH_H2O_SAFE,"Proportion of population using safely managed drinking water services, by urban/rural (%)",218.0,Ecuador,2000.0,68.24119,2000.0,,,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",,,E,,G,PERCENT,,,URBAN,,,,,,,,,,,,,
7.0,7.a,7.a.1,EG_IFF_RANDN,"International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems (millions of constant 2021 United States dollars)",218.0,Ecuador,2000.0,2.47,2000.0,,,,2021.0,"DAC Statistics database, 2024, The Organisation for Economic Co-operation and Development (OECD) and IRENA Public Finance Database, 2024, The international Renewable Energy Agency (IRENA)",,"Commitments by recipient country, in million USD at 2021 prices and exchange rates (using donor country deflators). The aggregated figures only include the historical list of developing countries with a few modifications to account for the shifting nature of international public finance.",E,,G,CON_USD_M,,,,,,,,MULTIPLE,,,,,,,,
7.0,7.a,7.a.1,EG_IFF_RANDN,"International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems (millions of constant 2021 United States dollars)",218.0,Ecuador,2000.0,0.0,2000.0,,,,2021.0,"DAC Statistics database, 2024, The Organisation for Economic Co-operation and Development (OECD) and IRENA Public Finance Database, 2024, The international Renewable Energy Agency (IRENA)",,"Commitments by recipient country, in million USD at 2021 prices and exchange rates (using donor country deflators). The aggregated figures only include the historical list of developing countries with a few modifications to account for the shifting nature of international public finance.",E,,G,CON_USD_M,,,,,,,,SOLAR,,,,,,,,
7.0,7.a,7.a.1,EG_IFF_RANDN,"International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems (millions of constant 2021 United States dollars)",218.0,Ecuador,2000.0,0.0,2000.0,,,,2021.0,"DAC Statistics database, 2024, The Organisation for Economic Co-operation and Development (OECD) and IRENA Public Finance Database, 2024, The international Renewable Energy Agency (IRENA)",,"Commitments by recipient country, in million USD at 2021 prices and exchange rates (using donor country deflators). The aggregated figures only include the historical list of developing countries with a few modifications to account for the shifting nature of international public finance.",E,,G,CON_USD_M,,,,,,,,HYDROPOWER,,,,,,,,
7.0,7.a,7.a.1,EG_IFF_RANDN,"International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems (millions of constant 2021 United States dollars)",218.0,Ecuador,2000.0,0.0,2000.0,,,,2021.0,"DAC Statistics database, 2024, The Organisation for Economic Co-operation and Development (OECD) and IRENA Public Finance Database, 2024, The international Renewable Energy Agency (IRENA)",,"Commitments by recipient country, in million USD at 2021 prices and exchange rates (using donor country deflators). The aggregated figures only include the historical list of developing countries with a few modifications to account for the shifting nature of international public finance.",E,,G,CON_USD_M,,,,,,,,MARINE,,,,,,,,
11.0,11.1,11.1.1,EN_LND_SLUM,Proportion of urban population living in slums (%),218.0,Ecuador,2000.0,57.41273,2000.0,,,,,United Nations Human Settlements Programme (UN-HABITAT),,,G,,G,PERCENT,,,URBAN,,,,,,,,,,,,,
7.0,7.a,7.a.1,EG_IFF_RANDN,"International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems (millions of constant 2021 United States dollars)",218.0,Ecuador,2000.0,0.0,2000.0,,,,2021.0,"DAC Statistics database, 2024, The Organisation for Economic Co-operation and Development (OECD) and IRENA Public Finance Database, 2024, The international Renewable Energy Agency (IRENA)",,"Commitments by recipient country, in million USD at 2021 prices and exchange rates (using donor country deflators). The aggregated figures only include the historical list of developing countries with a few modifications to account for the shifting nature of international public finance.",E,,G,CON_USD_M,,,,,,,,WIND,,,,,,,,
7.0,7.a,7.a.1,EG_IFF_RANDN,"International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems (millions of constant 2021 United States dollars)",218.0,Ecuador,2000.0,2.47,2000.0,,,,2021.0,"DAC Statistics database, 2024, The Organisation for Economic Co-operation and Development (OECD) and IRENA Public Finance Database, 2024, The international Renewable Energy Agency (IRENA)",,"Commitments by recipient country, in million USD at 2021 prices and exchange rates (using donor country deflators). The aggregated figures only include the historical list of developing countries with a few modifications to account for the shifting nature of international public finance.",E,,G,CON_USD_M,,,,,,,,ALL,,,,,,,,
7.0,7.a,7.a.1,EG_IFF_RANDN,"International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems (millions of constant 2021 United States dollars)",218.0,Ecuador,2000.0,0.0,2000.0,,,,2021.0,"DAC Statistics database, 2024, The Organisation for Economic Co-operation and Development (OECD) and IRENA Public Finance Database, 2024, The international Renewable Energy Agency (IRENA)",,"Commitments by recipient country, in million USD at 2021 prices and exchange rates (using donor country deflators). The aggregated figures only include the historical list of developing countries with a few modifications to account for the shifting nature of international public finance.",E,,G,CON_USD_M,,,,,,,,BIOENERGY,,,,,,,,
7.0,7.a,7.a.1,EG_IFF_RANDN,"International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems (millions of constant 2021 United States dollars)",218.0,Ecuador,2000.0,0.0,2000.0,,,,2021.0,"DAC Statistics database, 2024, The Organisation for Economic Co-operation and Development (OECD) and IRENA Public Finance Database, 2024, The international Renewable Energy Agency (IRENA)",,"Commitments by recipient country, in million USD at 2021 prices and exchange rates (using donor country deflators). The aggregated figures only include the historical list of developing countries with a few modifications to account for the shifting nature of international public finance.",E,,G,CON_USD_M,,,,,,,,GEOTHERMAL,,,,,,,,
1.0,1.1,1.1.1,SI_POV_EMP1,"Employed population below international poverty line, by sex and age (%)",218.0,Ecuador,2000.0,25.33,2000.0,,,,,"ILO modelled estimates, Nov. 2023",,,M,A,G,PERCENT,15-24,FEMALE,,,,,,,,,,,,,,
1.0,1.1,1.1.1,SI_POV_EMP1,"Employed population below international poverty line, by sex and age (%)",218.0,Ecuador,2000.0,23.8,2000.0,,,,,"ILO modelled estimates, Nov. 2023",,,M,A,G,PERCENT,15+,FEMALE,,,,,,,,,,,,,,
1.0,1.1,1.1.1,SI_POV_EMP1,"Employed population below international poverty line, by sex and age (%)",218.0,Ecuador,2000.0,27.85,2000.0,,,,,"ILO modelled estimates, Nov. 2023",,,M,A,G,PERCENT,15-24,BOTHSEX,,,,,,,,,,,,,,
1.0,1.1,1.1.1,SI_POV_EMP1,"Employed population below international poverty line, by sex and age (%)",218.0,Ecuador,2000.0,25.07,2000.0,,,,,"ILO modelled estimates, Nov. 2023",,,M,A,G,PERCENT,15+,MALE,,,,,,,,,,,,,,
1.0,1.1,1.1.1,SI_POV_EMP1,"Employed population below international poverty line, by sex and age (%)",218.0,Ecuador,2000.0,29.28,2000.0,,,,,"ILO modelled estimates, Nov. 2023",,,M,A,G,PERCENT,15-24,MALE,,,,,,,,,,,,,,
1.0,1.1,1.1.1,SI_POV_EMP1,"Employed population below international poverty line, by sex and age (%)",218.0,Ecuador,2000.0,23.32,2000.0,,,,,"ILO modelled estimates, Nov. 2023",,,M,A,G,PERCENT,25+,FEMALE,,,,,,,,,,,,,,
1.0,1.1,1.1.1,SI_POV_EMP1,"Employed population below international poverty line, by sex and age (%)",218.0,Ecuador,2000.0,23.78,2000.0,,,,,"ILO modelled estimates, Nov. 2023",,,M,A,G,PERCENT,25+,MALE,,,,,,,,,,,,,,
